timestamp,crossing_point
197,POINT (18.945877260103615 50.29206711421794)
198,POINT (18.946181532700212 50.29226473269645)
199,POINT (18.94648239219854 50.2925247339891)
200,POINT (18.946674773546803 50.29270831247692)
201,POINT (18.947161554224618 50.29296460801906)
202,POINT (18.94771701008337 50.29320062076273)
203,POINT (18.948238528641983 50.29335178910571)
204,POINT (18.948373554172246 50.29355167961978)
205,POINT (18.948469100680473 50.29361450102698)
206,POINT (18.94864993469761 50.293845741004134)
207,POINT (18.94882307448829 50.29403950535884)
208,POINT (18.948847416914692 50.29424010196378)
209,POINT (18.94902962216748 50.29460418468347)
210,POINT (18.94916573675927 50.29475747431446)
211,POINT (18.9494981093294 50.29506722945573)
212,POINT (18.94973100990043 50.29524782933909)
213,POINT (18.949833003629944 50.29554834897862)
214,POINT (18.95010931142597 50.29578024465763)
215,POINT (18.950495458619873 50.29618726555018)
216,POINT (18.95071484121578 50.29649131153778)
217,POINT (18.950875481406698 50.29668814400615)
218,POINT (18.950980052991884 50.29683599094897)
219,POINT (18.951218863537687 50.29711602804028)
220,POINT (18.951277362226357 50.29726252754601)
221,POINT (18.95146021028192 50.297419387498465)
222,POINT (18.951531726366944 50.297577164462695)
223,POINT (18.951616012578725 50.29759789576858)
224,POINT (18.9517734350448 50.29757420339933)
225,POINT (18.951944338005745 50.29754120798966)
226,POINT (18.952109778159315 50.29747470323616)
227,POINT (18.952323280240417 50.29738872381795)
228,POINT (18.952530522503277 50.297323253467134)
229,POINT (18.952504187972128 50.29731636672357)
230,POINT (18.95249255619942 50.297316010148535)
231,POINT (18.952476861906124 50.297316993053364)
232,POINT (18.952451397593634 50.29731524071025)
233,POINT (18.952441265332897 50.29730682411669)
234,POINT (18.952459749313842 50.29730070577253)
235,POINT (18.952476359241228 50.29729520775109)
236,POINT (18.95250657730492 50.297285205316186)
237,POINT (18.952526334027194 50.297278665667335)
238,POINT (18.952539853491057 50.29727419060291)
239,POINT (18.95257120811379 50.29726381193081)
240,POINT (18.952590430744078 50.29725222863159)
241,POINT (18.952622387039384 50.29724471195877)
242,POINT (18.952642289196138 50.29723799419812)
